"dt","nom_doc","type","rq"
"2014-03-04 09:49:44+00","PLANNING_VACANCES_ETE_2014.xlsx","pj","provient du mailplanning ete 2014"
"2014-05-16 06:28:20+00","Poste permanence du matin et charge de travail journalière","ml",""
"2014-05-16 07:57:12+00","Re: Poste permanence du matin et charge de travail journalière","ml",""
"2014-07-01 11:10:58+00","FUNERAILLES DE MR YANNICK DARRAS jeudi 3 juillet 2014 à 9h15  église ste Anne bd du brun pain à tourcoing","ml",""
"2014-09-11 09:06:34+00","modif_planning_pc_à_compter_du_15.09.2014.xlsx","pj","provient du mailModification planning pc à compter du 15.09.2014"
"2014-09-11 09:06:34+00","Modification planning pc à compter du 15.09.2014","ml",""
"2014-10-08 08:40:06+00","Fwd: CNAPS RENOUVELLEMENT CARTE","ml",""
"2014-10-21 09:55:27+00","Fwd: CNAPS RENOUVELLEMENT CARTE","ml",""
"2014-10-23 14:40:43+00","le planning provisoire.... (je dois faire poser les ""5 eme semaine début janvier ..peut être à compter du 05.01.2014)","ml",""
"2014-10-23 14:40:43+00","planning_vacances_de_noel_etc.xlsx","pj","provient du maille planning provisoire.... (je dois faire poser les ""5 eme semaine début janvier ..peut être à compter du 05.01.2014)"
"2014-11-24 08:31:05+00","Copie carte CNAPS","ml",""
"2014-12-04 07:21:58+00","Propreté Locaux","ml",""
"2014-12-05 14:29:08+00","Local Permanence Téléphonique","ml",""
"2014-12-12 13:21:10+00","PLANNING A COMPTER DU 01.01.2015","ml",""
"2014-12-12 13:21:10+00","MODIF_PLANNING_A_COMPTER_DU_01.01.2015.xlsx","pj","provient du mailPLANNING A COMPTER DU 01.01.2015"
"2014-12-26 12:31:29+00","je ne t ai pas trouvé sur le cahier de pointage le 3 et le 5 décembre ?","ml",""
"2015-01-02 15:33:12+00","ameline en congés patho à compter du 05.01.2015.","ml",""
"2015-01-20 14:08:54+00","POSTE DU 03.03.2015 POUR LOIC ET BENOIT V MODIFICATION PLANNING","ml",""
"2015-02-26 16:45:47+00","CONGES 2015","ml",""
"2015-03-03 15:58:21+00","modif_planning_a_compter_du_03.03.2015.xlsx","pj","provient du mailMODIFICATION DE PLANNING A COMPTER DU 03.03.2015"
"2015-03-03 15:58:21+00","MODIFICATION DE PLANNING A COMPTER DU 03.03.2015","ml",""
"2015-03-06 16:06:54+00","DELAI D INTERVENTION CONTRACTUEL POUR MNF SUR SITE DE MAIRIE DE  ROUBAIX","ml",""
"2015-03-12 09:29:40+00","PERMANENCE TELEPHONIQUE","ml",""
"2015-03-20 08:26:37+00","CONGES ETE 2015","ml",""
"2015-03-20 08:26:37+00","CONGES_ETE_2015.xlsx","pj","provient du mailCONGES ETE 2015"
"2015-04-07 05:37:09+00","MODIF A COMPTER DE CETTE SEMAINE POUR 3 SEMAINES SI HUMB EN AM","ml",""
"2015-04-07 05:49:25+00","modif_semaine_du_07.04_au_26.6_si_AM_humberto.xlsx","pj","provient du mailenvoi des modifs. désolée"
"2015-04-07 05:49:25+00","envoi des modifs. désolée","ml",""
"2015-04-08 07:16:56+00","Re: planning du 7 au  26 si am humberto","ml",""
"2015-04-09 10:15:42+00","planning modifié pour arrêt maladie d humberto maintenu","ml",""
"2015-04-20 19:59:36+00","changement planning chris g et laurent ?","ml",""
"2015-04-20 19:59:36+00","modif_planning_derniere_semaine_d_avril_pour_laurent_et_chris_g.ods","pj","provient du mailchangement planning chris g et laurent ?"
"2015-04-23 05:29:51+00","connexion webclient","ml",""
"2015-04-30 08:05:59+00","RETOUR DE HUMBERTO","ml",""
"2015-05-04 06:56:09+00","LISTE_DES_CANDIDATSDDP2015.doc","pj","provient du mailINSCRIPTION DELEGUE DU PERSONNEL"
"2015-05-04 06:56:09+00","INSCRIPTION DELEGUE DU PERSONNEL","ml",""
"2015-05-15 11:28:42+00","ABSENCE DE HANS CE WEEK END","ml",""
"2015-05-18 12:24:38+00","Re: demande d'autorisation d'absence le 11 juin.","ml",""
"2015-05-22 12:49:39+00","MODIFICATION PLANNING POUR le week end du 23 et 24.05.2015","ml",""
"2015-05-23 14:52:06+00","Re: demande d'autorisation d'absence le 11 juin.","ml",""
"2015-06-08 13:14:52+00","LA SATISFACTION CLIENTS","ml",""
"2015-06-22 08:23:25+00","Absence de Loic ce lundi 22.06.2015 de 19h à 7h","ml",""
"2015-06-30 21:26:15+00","sebastien a dit que tu etais un.....","ml",""
"2015-07-01 14:17:56+00","MESSAGES INDESIRABLES SUR ZIMBRA","ml",""
"2015-07-09 14:01:59+00","ECOUTES - ENREGISTREMENT","ml",""
"2015-07-17 14:12:44+00","absence de benoit V ce soir","ml",""
"2015-09-08 10:48:02+00","casse froid Match Niederbronn du 10.08.2015","ml",""
"2015-09-24 14:52:45+00","absence de Hans du 23h30 à 07h00","ml",""
"2015-11-09 14:09:07+00","Planning novembre 2015","ml",""
"2015-11-09 14:09:07+00","3474_001.pdf","pj","provient du mailPlanning novembre 2015"
"2015-11-20 15:33:09+00","Planning Décembre 2015","ml",""
"2015-11-20 15:33:09+00","Planning_PC_Décembre_2015.pdf","pj","provient du mailPlanning Décembre 2015"
"2016-01-19 17:58:31+00","Planning Février 2016","ml",""
"2016-01-19 17:58:31+00","Planning_PC_Février_2016_ref2016011901.pdf","pj","provient du mailPlanning Février 2016"
"2016-02-18 15:55:24+00","Planning_PC_Mars_2016_ref2016021701.pdf","pj","provient du mailPlanning mars 2016"
"2016-02-18 15:55:24+00","Planning mars 2016","ml",""
"2016-03-16 18:18:45+00","Re: Planning avril 2016","ml",""
"2016-04-13 14:05:45+00","CHANGEMENT_AU_20.04.2016.pdf","pj","provient du mailAménagement planning à compter du 20/04/2016"
"2016-04-13 14:05:45+00","Aménagement planning à compter du 20/04/2016","ml",""
"2016-04-19 12:36:16+00","2016_AVRIL_MAJ_AU_19.04.2016.ods","pj","provient du mailModifications planning 2016"
"2016-04-19 12:36:16+00","Modifications planning 2016","ml",""
"2016-04-27 14:29:08+00","2016_MAI.ods","pj","provient du mailPLANNING DU MOIS DE MAI 2016"
"2016-04-27 14:29:08+00","PLANNING DU MOIS DE MAI 2016","ml",""
"2016-04-28 08:46:19+00","2016_MAI.odg","pj","provient du mailPLANNING PC MAI 2016 Modifié"
"2016-04-28 08:46:19+00","PLANNING PC MAI 2016 Modifié","ml",""
"2016-05-06 12:28:01+00","CONGES_ETE_2016.pdf","pj","provient du mailMAJ PLANNING CONGES"
"2016-05-06 12:28:01+00","MAJ PLANNING CONGES","ml",""
"2016-05-25 14:40:47+00","PLANNING JUIN 2016","ml",""
"2016-05-25 14:40:47+00","2016_JUIN.pdf","pj","provient du mailPLANNING JUIN 2016"
"2016-05-26 06:54:20+00","rectificatif planning juin","ml",""
"2016-05-26 06:54:20+00","2016_JUIN.pdf","pj","provient du mailrectificatif planning juin"
"2016-05-26 09:27:52+00","MAJ Planning","ml",""
"2016-05-26 09:27:52+00","2016_JUIN.pdf","pj","provient du mailMAJ Planning"
"2016-05-30 07:06:00+00","Re: planning de juin","ml",""
"2016-06-02 12:59:15+00","2016_JUILLET.pdf","pj","provient du mailplanning juillet 2016"
"2016-06-02 12:59:15+00","planning juillet 2016","ml",""
"2016-06-03 07:30:32+00","Rectifications planning JUILLET 2016","ml",""
"2016-06-03 07:30:32+00","JUILLET_2016.pdf","pj","provient du mailRectifications planning JUILLET 2016"
"2016-07-19 14:27:18+00","AOUT_2016.pdf","pj","provient du mailPC PLANNING AOUT 2016"
"2016-07-19 14:27:18+00","PC PLANNING AOUT 2016","ml",""
"2016-07-25 12:21:45+00","PLANNING AOUT 2016 rectifié","ml",""
"2016-07-25 12:21:45+00","AOUT_2016.pdf","pj","provient du mailPLANNING AOUT 2016 rectifié"
"2016-07-29 07:01:57+00","MODIFICATION PLANNING - Concerne Corentin et Humerto","ml",""
"2016-07-29 07:01:57+00","AOUT2016.pdf","pj","provient du mailMODIFICATION PLANNING - Concerne Corentin et Humerto"
"2016-07-29 07:03:38+00","Re: planning mois d août","ml",""
"2016-07-29 07:10:03+00","juillet_2016_maj.pdf","pj","provient du mailplanning de juillet. poste P1 du 29/07"
"2016-07-29 07:10:03+00","planning de juillet. poste P1 du 29/07","ml",""
"2016-08-01 11:32:09+00","PC - Planning SEPTEMBRE 2016","ml",""
"2016-08-01 11:32:09+00","AOUT_2016.pdf","pj","provient du mailPC - Planning SEPTEMBRE 2016"
"2016-08-01 11:32:09+00","SEPTEMBRE_2016.pdf","pj","provient du mailPC - Planning SEPTEMBRE 2016"
"2016-08-01 12:05:11+00","PC PLANNING SEPTEMBRE 2016","ml",""
"2016-08-01 12:05:11+00","SEPTEMBRE_2016.pdf","pj","provient du mailPC PLANNING SEPTEMBRE 2016"
"2016-08-02 08:43:04+00","Re: PC - Planning SEPTEMBRE 2016","ml",""
"2016-08-02 12:19:52+00","planning septembre 2016","ml",""
"2016-08-02 12:19:52+00","SEPTEMBRE_2016.pdf","pj","provient du mailplanning septembre 2016"
"2016-08-29 07:44:25+00","SEPTEMBRE_2016.pdf","pj","provient du mailmaj Planning"
"2016-08-29 07:44:25+00","AOUT_2016.pdf","pj","provient du mailmaj Planning"
"2016-08-29 07:44:25+00","maj Planning","ml",""
"2016-09-22 06:49:15+00","SEPTEMBRE_2016.pdf","pj","provient du mailPLANNING PC OCTOBRE 2016"
"2016-09-22 06:49:15+00","PLANNING PC OCTOBRE 2016","ml",""
"2016-09-22 06:49:15+00","octobre_2016.pdf","pj","provient du mailPLANNING PC OCTOBRE 2016"
"2016-09-22 07:05:33+00","octobre_2016.pdf","pj","provient du mailPLANNING OCTOBRE"
"2016-09-22 07:05:33+00","PLANNING OCTOBRE","ml",""
"2016-09-22 07:05:33+00","SEPTEMBRE_2016.pdf","pj","provient du mailPLANNING OCTOBRE"
"2016-09-26 13:31:01+00","octobre_2016.pdf","pj","provient du mailPlanning OCTOBRE 2016"
"2016-09-26 13:31:01+00","Planning OCTOBRE 2016","ml",""
"2016-09-27 07:32:30+00","octobre_2016.pdf","pj","provient du mailPLANNING OCTOBRE 2016 Corrigé"
"2016-09-27 07:32:30+00","PLANNING OCTOBRE 2016 Corrigé","ml",""
"2016-09-27 09:25:29+00","octobre_2016.pdf","pj","provient du mailPlanning octobre 2016"
"2016-09-27 09:25:29+00","Planning octobre 2016","ml",""
"2016-10-07 13:35:43+00","NOVEMBRE_2016.pdf","pj","provient du mailPLANNING NOVEMBRE 2016"
"2016-10-07 13:35:43+00","PLANNING NOVEMBRE 2016","ml",""
"2016-11-04 10:31:41+00","ANALYSE_CP_NOEL_ET_NOUVEL_AN.pdf","pj","provient du mailPlanning décembre 2016 (imminent)"
"2016-11-04 10:31:41+00","Planning décembre 2016 (imminent)","ml",""
"2016-11-07 14:31:38+00","PLANNING DECEMBRE 2016","ml",""
"2016-11-07 14:31:38+00","DECEMBRE_2016.pdf","pj","provient du mailPLANNING DECEMBRE 2016"
"2016-11-18 07:20:00+00","Re: planning / décembre / demande déplacement du poste du 13/12 vers le 14/12","ml",""
"2016-11-23 07:58:53+00","DECEMBRE_2016.pdf","pj","provient du mailMAJ Planning décembre 2016"
"2016-11-23 07:58:53+00","MAJ Planning décembre 2016","ml",""
"2016-11-28 08:25:40+00","MAJ Planning décembre 2016","ml",""
"2016-11-28 08:25:40+00","DECEMBRE_2016_MAJ_Du_28.11.2016.pdf","pj","provient du mailMAJ Planning décembre 2016"
"2016-11-28 08:28:35+00","DECEMBRE_2016_MAJ_Du_28.11.2016.pdf","pj","provient du mailmaj planning decembre 2016"
"2016-11-28 08:28:35+00","maj planning decembre 2016","ml",""
"2016-12-02 14:40:47+00","PC - Planning janvier 2017","ml",""
"2016-12-02 14:40:47+00","2017_JANVIER.pdf","pj","provient du mailPC - Planning janvier 2017"
"2016-12-08 07:16:47+00","MAJ Planning DÉCEMBRE 2016","ml",""
"2016-12-08 07:16:47+00","DECEMBRE_MAJ_DU_08.12.2016.pdf","pj","provient du mailMAJ Planning DÉCEMBRE 2016"
"2016-12-08 09:32:10+00","2017_FEVRIER.pdf","pj","provient du mailPlanning février 2017"
"2016-12-08 09:32:10+00","Planning février 2017","ml",""
"2016-12-12 09:38:05+00","Modifications planning de Décembre 2016","ml",""
"2016-12-12 09:38:05+00","decembre_2016_MAJ_DU_12.12.2016.pdf","pj","provient du mailModifications planning de Décembre 2016"
"2017-01-02 14:10:27+00","2017_JANVIER.pdf","pj","provient du mailMODIFICATION PLANNING JANVIER 2017"
"2017-01-02 14:10:27+00","MODIFICATION PLANNING JANVIER 2017","ml",""
"2017-01-02 14:10:27+00","bf","pj","provient du mailMODIFICATION PLANNING JANVIER 2017"
"2017-01-11 11:01:57+00","2017_JANVIER.pdf","pj","provient du mailDOMOVEIL - MAJ Planning JANVIER 2017"
"2017-01-11 11:01:57+00","2017.png","pj","provient du mailDOMOVEIL - MAJ Planning JANVIER 2017"
"2017-01-11 11:01:57+00","DOMOVEIL - MAJ Planning JANVIER 2017","ml",""
"2017-01-17 13:15:02+00","Aménagements planning","ml",""
"2017-01-17 13:15:02+00","2017_JANVIER.pdf","pj","provient du mailAménagements planning"
"2017-01-17 13:15:02+00","2017.png","pj","provient du mailAménagements planning"
"2017-02-09 10:54:28+00","DOMOVEIL - Planning du mois de Mars 2016","ml",""
"2017-02-09 10:54:28+00","2017_MARS.pdf","pj","provient du mailDOMOVEIL - Planning du mois de Mars 2016"
"2017-02-20 09:22:30+00","MAJ PLANNING MARS","ml",""
"2017-02-20 09:22:30+00","2017_MARS.pdf","pj","provient du mailMAJ PLANNING MARS"
"2017-02-22 15:16:27+00","2017_AVRIL.pdf","pj","provient du mailPLANNING AVRIL 2017"
"2017-02-22 15:16:27+00","2017_MARS.pdf","pj","provient du mailPLANNING AVRIL 2017"
"2017-02-22 15:16:27+00","PLANNING AVRIL 2017","ml",""
"2017-02-23 09:07:38+00","2017_AVRIL.pdf","pj","provient du mailPLANNING AVRIL 2017"
"2017-02-23 09:07:38+00","PLANNING AVRIL 2017","ml",""
"2017-02-23 10:10:50+00","2017_AVRIL.pdf","pj","provient du mailDOMOVEIL  - PLANNING PC - AVRIL 2017"
"2017-02-23 10:10:50+00","DOMOVEIL  - PLANNING PC - AVRIL 2017","ml",""
"2017-02-27 10:31:07+00","DOMOVEIL - PLANNING AVRIL MAJ","ml",""
"2017-02-27 10:31:07+00","2017_AVRIL.pdf","pj","provient du mailDOMOVEIL - PLANNING AVRIL MAJ"
"2017-03-27 13:51:40+00","DOMOVEIL - Planning PC MAI 2017","ml",""
"2017-03-27 13:51:40+00","2017_MAI.pdf","pj","provient du mailDOMOVEIL - Planning PC MAI 2017"
"2017-04-10 07:16:36+00","DOMOVEIL - Planning MAI 2017 modifié","ml",""
"2017-04-10 07:16:36+00","2017_MAI.pdf","pj","provient du mailDOMOVEIL - Planning MAI 2017 modifié"
"2017-04-27 06:17:52+00","PLANNING CP ETE 2017","ml",""
"2017-04-27 06:17:52+00","CONGES_ETE_2017_-_MAJ_du_27.04.2017.pdf","pj","provient du mailPLANNING CP ETE 2017"
"2017-05-16 06:36:05+00","PLANNING JUIN 2017","ml",""
"2017-05-16 06:36:05+00","2017_JUIN.pdf","pj","provient du mailPLANNING JUIN 2017"
"2017-05-22 10:09:30+00","2017_JUILLET.pdf","pj","provient du mailModification planning"
"2017-05-22 10:09:30+00","2017_MAI.pdf","pj","provient du mailModification planning"
"2017-05-22 10:09:30+00","Modification planning","ml",""
"2017-05-22 10:09:30+00","2017_JUIN.pdf","pj","provient du mailModification planning"
"2017-05-24 15:07:19+00","PLANNING MAI ET JUIN - Aménagements suite AM","ml",""
"2017-05-24 15:07:19+00","2017_JUIN.pdf","pj","provient du mailPLANNING MAI ET JUIN - Aménagements suite AM"
"2017-05-24 15:07:19+00","2017_MAI.pdf","pj","provient du mailPLANNING MAI ET JUIN - Aménagements suite AM"
"2017-06-06 10:47:47+00","2017_JUIN.pdf","pj","provient du mailRéaménagement planning JUIN 2017"
"2017-06-06 10:47:47+00","Réaménagement planning JUIN 2017","ml",""
"2017-06-14 10:43:26+00","2017_JUIN.pdf","pj","provient du mailMAJ PLANNING JUIN 2017"
"2017-06-14 10:43:26+00","MAJ PLANNING JUIN 2017","ml",""
"2017-06-14 12:22:56+00","Correction planning JUIN","ml",""
"2017-06-14 12:22:56+00","2017_JUIN.pdf","pj","provient du mailCorrection planning JUIN"
"2017-06-19 11:22:12+00","2017_AOUT.pdf","pj","provient du mailDOMOVEIL - Planning prévisionnel AOUT 2017"
"2017-06-19 11:22:12+00","DOMOVEIL - Planning prévisionnel AOUT 2017","ml",""
"2017-06-21 06:33:08+00","DOMOVEIL - Planning prévisionnel AOUT 2017","ml",""
"2017-06-23 13:30:35+00","Re: planning par mail","ml",""
"2017-06-23 13:30:35+00","2017_AOUT.ods","pj","provient du mailRe: planning par mail"
"2017-06-26 13:53:21+00","MAJ Planning AOUT 2017","ml",""
"2017-06-26 13:53:21+00","2017_AOUT.pdf","pj","provient du mailMAJ Planning AOUT 2017"
"2017-07-20 11:45:08+00","pose heures repos compensateur 1%","ml",""
"2017-08-09 13:46:44+00","2017_AOUT.pdf","pj","provient du mailMAJ Planning AOUT + Projet planning septembre 2017"
"2017-08-09 13:46:44+00","2017_SEPTEMBRE.pdf","pj","provient du mailMAJ Planning AOUT + Projet planning septembre 2017"
"2017-08-09 13:46:44+00","MAJ Planning AOUT + Projet planning septembre 2017","ml",""
"2017-08-09 17:06:37+00","MAJ Planning AOUT + Projet planning septembre 2017","ml",""
"2017-08-14 12:40:25+00","2017_AOUT_(2).pdf","pj","provient du mailDOMOVEIL - MAJ Planning AOUT 2017"
"2017-08-14 12:40:25+00","DOMOVEIL - MAJ Planning AOUT 2017","ml",""
"2017-08-16 05:27:24+00","Re: demande de pose de repos compensateur","ml",""
"2017-08-17 06:16:39+00","PLANNING SEPTEMBRE 2017","ml",""
"2017-08-17 06:16:39+00","2017_SEPTEMBRE.pdf","pj","provient du mailPLANNING SEPTEMBRE 2017"
"2017-08-20 20:21:26+00","Planning_PC_Janvier_2016_ref2015122302.pdf","pj","provient du mailFwd: Planning janvier 2016 ref2015122302"
"2017-08-20 20:21:26+00","Fwd: Planning janvier 2016 ref2015122302","ml",""
